Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Flagged),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
"""Next"" button is  not working on Zyggy 1.0.8 (44) for iOS",ZYG-99,10098,Bug,Ready for production,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,05/Jul/24 12:42 PM,11/Jul/24 5:48 PM,30/Aug/24 9:02 PM,,,0,,"h3. Description

During onboarding, after verifying email and inputting phone number, the “Next” button when tapped on doesn’t take you to the next screen.

h3. STEPS

# Tap on create account
# input email and create password
# verify email
# input phone number and tap on “Next”

h3. EXPECTED RESULT 

When you tap on “Next”, it takes you to the next screen where you in put name and date of birth.

h3. ACTUAL RESULT

Nothing happens, it’s still on the same screen",,ayokodipo,David Yamah,,,,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,05/Jul/24 12:47 PM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;VID_20240705_113319.mp4;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10063,,,,,,,,,,,,,,,,,,,,,,,0|i000m6:zzzzzzzv,,,Bug Sprint,,,,,,,,,2024-07-09 14:39:10.94,,09/Jul/24 3:39 PM;70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19;[~accountid:712020:af655a80-53c3-4600-8121-2d72f4132621] ,11/Jul/24 5:48 PM;712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2;Fix is confirmed,,,,,,,,,,,,In Progress,10/Jul/24 10:33 AM
Password screen,ZYG-98,10097,Bug,Ready for production,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,01/Jul/24 11:54 AM,11/Jul/24 5:28 PM,30/Aug/24 9:02 PM,,,0,,"h3. Description

During onboarding and when logging in, there is no eye icon that can be toggled for password visibility.

h3. STEPS

During sign up:

# input email address and tap “Proceed”
# Type in password without the option to hide visibility

During Log in:

# input email address and tap “Proceed”
# Type in password without the option to make it visible

h3. EXPECTED RESULT 

User should be able to toggle an eye switch to show or hide password

h3. ACTUAL RESULT

Password is exposed (during sign up)

Password is hidden (during log in)",,ayokodipo,David Yamah,folaranmiaderinto,,,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,712020:af655a80-53c3-4600-8121-2d72f4132621,,,,,,,,,,,,,,,,,01/Jul/24 11:58 AM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;1719831426469.jpg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10060,01/Jul/24 11:58 AM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;Screenshot_2024-07-01-11-56-06-317_com.miui.mediaviewer.jpg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10059,,,,,,,,,,,,,,,,,,,,,,0|i000m6:zzzzzzzr,,,Bug Sprint,,,,,,,,,2024-07-09 14:39:36.344,,09/Jul/24 3:39 PM;70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19;[~accountid:712020:af655a80-53c3-4600-8121-2d72f4132621] fix this please,10/Jul/24 10:32 AM;712020:af655a80-53c3-4600-8121-2d72f4132621;this is fixed,11/Jul/24 5:28 PM;712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2;Fix is confirmed.,,,,,,,,,,,In Progress,10/Jul/24 10:32 AM
Active user is redirected to signup screen when attempting to login. ,ZYG-97,10096,Bug,Ready for production,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,29/Jun/24 10:56 AM,11/Jul/24 6:23 PM,05/Jul/24 10:29 AM,,,0,Critical,"h3. Description

Investigate user with account number 9639523487 



h3. STEPS

​1. Create an account successfully. 

# Log out. 
# Sign out. 
# Tap on log in. 
# Enter email and password 
# View the next screen. 

h3. EXPECTED RESULT 

Existing user should be redirected to dashboard. 

h3. ACTUAL RESULT

User was redirected to this screen in the attached image. 

!IMG_20240629_104317_061.jpg|width=50%,alt=""IMG_20240629_104317_061.jpg""!",,ayokodipo,David Yamah,,,,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,04/Jul/24 9:57 AM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;1720082978580.jpg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10062,29/Jun/24 10:56 AM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;IMG_20240629_104317_061.jpg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10057,29/Jun/24 12:38 PM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;IMG_20240629_123642_062.jpg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10058,07/Jul/24 2:31 PM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;IMG_20240707_142314_414.jpg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10072,07/Jul/24 2:30 PM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;IMG_20240707_142349_473.jpg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10071,04/Jul/24 9:57 AM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;Vid 20240704 093318.mp4;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10061,,,,,,,,,,Impediment,,,,,,,,0|i000m6:zzzzzzzi,,,Bug Sprint,,,,,,,,,2024-07-09 14:40:16.927,,"29/Jun/24 12:38 PM;712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2;An attempt to continue the flow results in the image below. 





!IMG_20240629_123642_062.jpg|width=3456,height=3456,alt=""IMG_20240629_123642_062.jpg""!","04/Jul/24 9:57 AM;712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2;

!Vid 20240704 093318.mp4|width=720,height=1280,alt=""Vid 20240704 093318.mp4""!



!1720082978580.jpg|width=3000,height=4000,alt=""1720082978580.jpg""!

Once the correct password is inputted, nothing happens, no error message or change of screen. When a wrong password is used, it displays the error message “an unknown error occurred”[~accountid:712020:af655a80-53c3-4600-8121-2d72f4132621] ","07/Jul/24 2:30 PM;712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2;When signing back into the app after signing out, the app takes me to the “create passcode” screen



!IMG_20240707_142314_414.jpg|width=3456,height=3456,alt=""IMG_20240707_142314_414.jpg""!



On attempt to create a passcode other than the one user has previously created during registration, this error is displayed.

!IMG_20240707_142349_473.jpg|width=3456,height=3456,alt=""IMG_20240707_142349_473.jpg""!",09/Jul/24 3:40 PM;70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19;Is this still persisiting [~accountid:712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2] ,09/Jul/24 3:53 PM;712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2;As at today? Yes.,09/Jul/24 3:54 PM;712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2;When I attempted to login to my user on another device and it was reproducible. Will retest when another build is ready [~accountid:70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19] ,11/Jul/24 6:23 PM;712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2;Fix is confirmed.,,,,,10001,BUGS,In Progress,09/Jul/24 3:40 PM
"Add ""Forgot Password"" to new Email/Password flow. ",ZYG-96,10095,Bug,Ready for production,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,ayokodipo,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,29/Jun/24 10:42 AM,09/Jul/24 3:34 PM,05/Jul/24 10:29 AM,,,0,,"h3. Description



In the new flow, users are unable to change password or reset password. 

h3. STEPS



h3. EXPECTED RESULT 

h3. ACTUAL RESULT



!IMG_20240629_103536_975.jpg|width=3456,height=3456,alt=""IMG_20240629_103536_975.jpg""!",,ayokodipo,David Yamah,,,,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,07/Jul/24 1:54 PM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;IMG-20240707-WA0002.jpg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10068,29/Jun/24 10:42 AM;ug:01a586d5-b8e7-49e4-a2d9-bbd2a02e4352;IMG_20240629_103536_975.jpg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10056,,,,,,,,,,,,,,Impediment,,,,,,,,0|i000m6:zzzzzzz,,,Bug Sprint,,,,,,,,,,,"07/Jul/24 1:54 PM;712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2;

!IMG-20240707-WA0002.jpg|width=1280,height=1280,alt=""IMG-20240707-WA0002.jpg""!

“Forgot Passcode” is added. New bug will be raised in another ticket.",,,,,,,,,,,,,In Progress,02/Jul/24 8:51 AM
iOS: Incorrect User Tag Availability Status Update,ZYG-95,10094,Bug,Ready for production,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,Adeniyi John,62b2b7970c77011bdfdcd453,Adeniyi John,62b2b7970c77011bdfdcd453,29/Jun/24 1:26 AM,17/Jul/24 8:59 PM,05/Jul/24 10:29 AM,,,0,,"When a user attempts to create a user tag that has already been chosen by another user, the status incorrectly displays as ""Available"" until the user deactivates the keypad by clicking Done or Next. It should immediately display ""Not Available"" when the user tag is unavailable.

h3. STEPS

# Create an account
# Input email and password
# Follow on-screen instructions
# Create a passcode
# On the complete account setup, click on the User Tag screen

h3. EXPECTED RESULT 

The status should immediately show ""Not Available"" upon entering a user tag that is already taken by another user, without requiring the user to deactivate the keypad.

h3. ACTUAL RESULT

The status incorrectly shows ""Available"" until the keypad is deactivated, after which it updates to ""Not Available.",,Adeniyi John,ayokodipo,David Yamah,,,62b2b7970c77011bdfdcd453,712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,ZYG-124,,29/Jun/24 1:26 AM;ug:1a16ba24-7913-4aca-9dd9-a1d75dcb4a11;User tag availability response.mp4;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10052,,,,,,,,,,,,,,,,,,,,,,,0|i000m6:zzzzzzy,,,Bug Sprint,,,,,,,,,2024-07-17 19:59:27.978,,17/Jul/24 8:59 PM;712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2;Follow up ticket is linked. This can be marked as resolved.,,,,,,,,,,,,,In Progress,02/Jul/24 9:00 AM
iOS: Proper Spacing on the Success message for Other Payments section,ZYG-94,10093,Bug,Ready for production,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,Adeniyi John,62b2b7970c77011bdfdcd453,Adeniyi John,62b2b7970c77011bdfdcd453,Adeniyi John,62b2b7970c77011bdfdcd453,29/Jun/24 1:10 AM,10/Jul/24 8:20 AM,05/Jul/24 10:28 AM,,,0,,"The spacing on the success message after payment should be distinct

h3. STEPS

# Login to your account
# Click Other Payments
# Make a transaction
# Enter the Transaction PIN and confirm the success message

h3. EXPECTED RESULT 

There should be proper spacing between each words

h3. ACTUAL RESULT

There is no proper spacing between each words",,Adeniyi John,David Yamah,,,,62b2b7970c77011bdfdcd453,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,29/Jun/24 1:13 AM;ug:1a16ba24-7913-4aca-9dd9-a1d75dcb4a11;Other payments spacing issue.jpeg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10051,,,,,,,,,,,,,,,,,,,,,,,0|i0001i:t,,,Bug Sprint,,,,,,,,,,,,,,,,,,,,,,,,In Progress,05/Jul/24 10:49 AM
iOS: Incorrect Biometrics Behavior on Face ID Device and Togged on Icon UI,ZYG-93,10092,Bug,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,Raymond Aderinto,5f6e4e4ded55c7006af8793c,Adeniyi John,62b2b7970c77011bdfdcd453,Adeniyi John,62b2b7970c77011bdfdcd453,29/Jun/24 1:03 AM,09/Jul/24 3:41 PM,05/Jul/24 10:28 AM,,,0,,"When a user tries to activate biometrics on a Face ID device and chooses ""Don't Allow,"" it prompts for the phone passcode instead. Despite this, it proceeds to enable biometrics for the passcode instead. The UI for the toggled-on button should be updated accordingly.

h3. STEPS

# Login to your account
# Click on More on the bottom nav bar
# Click on Security
# Toggle on “Enable Biometrics“
# Reject the permission

h3. EXPECTED RESULT 

it should throw an error message to the action of the user

h3. ACTUAL RESULT

It still goes ahead to enable the biometrics regardless

The UI of the toggle on state should be changed",,Adeniyi John,David Yamah,,,,62b2b7970c77011bdfdcd453,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,29/Jun/24 1:03 AM;ug:1a16ba24-7913-4aca-9dd9-a1d75dcb4a11;Enable Biometrics toggle.jpeg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10050,,,,,,,,,,,,,,,,,,,,,,,0|i000m6:zzzzzzv,,,Bug Sprint,,,,,,,,,2024-07-09 14:41:39.494,,"09/Jul/24 3:41 PM;70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19;[~accountid:712020:7de51337-86bb-4fec-bdef-8ab2b3517aa2] 

please is this still persisiting ",,,,,,,,,,,,,To Do,29/Jun/24 1:03 AM
iOS: Address shown on Card Creation,ZYG-92,10091,Bug,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,Raymond Aderinto,5f6e4e4ded55c7006af8793c,Adeniyi John,62b2b7970c77011bdfdcd453,Adeniyi John,62b2b7970c77011bdfdcd453,29/Jun/24 12:55 AM,09/Jul/24 3:34 PM,05/Jul/24 10:28 AM,,,0,,"Incomplete Address is shown on Card creation

h3. STEPS

# Login to your account
# Click on Card on the bottom nav bar
# Click on Get Start button
# Make sure to have processed your Address Verification the completed stage first
# Locate the Address on the screen

h3. EXPECTED RESULT 

The Address showing in card creation should tally with what the user filled in the address verification request form

h3. ACTUAL RESULT

The Address does not fully tally with the filled info in the address verification request form",,Adeniyi John,David Yamah,,,,62b2b7970c77011bdfdcd453,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000m6:zzzzzzr,,,Bug Sprint,,,,,,,,,,,,,,,,,,,,,,,,To Do,29/Jun/24 12:55 AM
iOS: Profile Picture Not Updating After Image Selection,ZYG-91,10090,Bug,Ready for QA,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,Adeniyi John,62b2b7970c77011bdfdcd453,Adeniyi John,62b2b7970c77011bdfdcd453,Adeniyi John,62b2b7970c77011bdfdcd453,29/Jun/24 12:51 AM,29/Jul/24 9:01 AM,05/Jul/24 10:28 AM,,,0,,"When a user clicks on the edit profile image and chooses a picture from the gallery or takes a picture with the camera and selects to upload it, the profile picture does not update to the chosen image

h3. STEPS

# Login to your account
# Click on More on the bottom nav bar
# Click on the edit icon at the top left corner
# Choose a method of uploading an image from the modal
# Select an Image

h3. EXPECTED RESULT 

Selecting an Image from the gallery or taking a picture with the camera and uploading it should successfully update the profile image

h3. ACTUAL RESULT

The profile picture remains the same as the previous image i.e it is not being updated",,Adeniyi John,David Yamah,,,,62b2b7970c77011bdfdcd453,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000m6:zzzzzzi,,,Bug Sprint,,,,,,,,,,,,,,,,,,,,,,,,In Progress,29/Jul/24 9:01 AM
iOS: Error Creating Card After Address Verification,ZYG-90,10089,Bug,Testing in progress,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,Adeniyi John,62b2b7970c77011bdfdcd453,Adeniyi John,62b2b7970c77011bdfdcd453,Adeniyi John,62b2b7970c77011bdfdcd453,29/Jun/24 12:46 AM,25/Jul/24 12:09 PM,25/Jul/24 12:09 PM,,,0,,"After completing the Address verification process, attempting to create a card results in an error message stating ""Update Customer to create virtual card."" Clicking the button in the error modal causes the message ""Creating your card"" to load indefinitely.

h3. STEPS

# Login to your account
# Click on Card on the bottom nav bar
# Click on Get Started button
# Make sure you have completed your Address Verification process to create a card
# Follow on-screen instructions to create a card

h3. EXPECTED RESULT 

A user should be able to successfully create a card

h3. ACTUAL RESULT

On card creation, an error message “Update customer to create virtual card“ comes up",,Adeniyi John,David Yamah,,,,62b2b7970c77011bdfdcd453,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000m6:zzzzzz,,,Bug Sprint,,,,,,,,,,,"25/Jul/24 12:09 PM;62b2b7970c77011bdfdcd453;[~accountid:70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19] What should I tag this as, because apparently this issue was only for me due to the fact that I had created a card with my details before



So, are we handling this or we just go ahead to close the ticket?",,,,,,,,,,,,,In Progress,24/Jul/24 12:38 PM
iOS: The Terms and Conditions content while creating a virtual card should be updated,ZYG-89,10088,Bug,To Do,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,Raymond Aderinto,5f6e4e4ded55c7006af8793c,Adeniyi John,62b2b7970c77011bdfdcd453,Adeniyi John,62b2b7970c77011bdfdcd453,29/Jun/24 12:35 AM,09/Jul/24 3:42 PM,05/Jul/24 10:27 AM,,,0,,"The terms and conditions content when a user wants to create a virtual card should d be updated to a real content

h3. STEPS

# Login to your account
# Click on Card on the bottom nav bar
# Click on Get Started button
# Make sure your Address Verification is completed first and then follow on-screen instructions till you get to the Terms and Conditions screen

h3. EXPECTED RESULT 

The content should be updated to a real one

h3. ACTUAL RESULT

The content looks like a dummy text",,Adeniyi John,David Yamah,,,,62b2b7970c77011bdfdcd453,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,29/Jun/24 12:41 AM;ug:1a16ba24-7913-4aca-9dd9-a1d75dcb4a11;Cards T & C.jpeg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10049,,,,,,,,,,,,,,,,,,,,,,,0|i000m6:zzzzzy,,,Bug Sprint,,,,,,,,,2024-07-09 14:42:00.929,,09/Jul/24 3:42 PM;70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19;[~accountid:5f6e4e4ded55c7006af8793c] is this done ?,,,,,,,,,,,,,To Do,29/Jun/24 12:35 AM
iOS: Incorrect Display of Recent Activities and Transaction History,ZYG-88,10087,Bug,Ready for production,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,Michael David,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,Adeniyi John,62b2b7970c77011bdfdcd453,Adeniyi John,62b2b7970c77011bdfdcd453,29/Jun/24 12:29 AM,25/Jul/24 11:48 AM,25/Jul/24 11:48 AM,,,0,Critical,"When a user funds after a newly created account, the recent activities, and All transaction history show a grey color without showing the credit transaction. On spending from the account, it shows the debit but the grey color is still on the screen

h3. STEPS

# Login to your account
# Click on Add money
# Fund the account number 
# Check the Recent Activities section AND Go to More from the bottom Nav bar and click on Transactions

h3. EXPECTED RESULT 

The grey screen should be absent

h3. ACTUAL RESULT

The grey screen is present",,Adeniyi John,David Yamah,Michael David,,,62b2b7970c77011bdfdcd453,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a,,,,,,,,,,,,,,,,,29/Jun/24 12:29 AM;ug:1a16ba24-7913-4aca-9dd9-a1d75dcb4a11;All transactions grey screen.jpeg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10048,29/Jun/24 12:29 AM;ug:1a16ba24-7913-4aca-9dd9-a1d75dcb4a11;Recent transactions grey screen 1.jpeg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10047,29/Jun/24 12:29 AM;ug:1a16ba24-7913-4aca-9dd9-a1d75dcb4a11;Recent transactions grey screen 2.jpeg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10046,,,,,,,,,,,,,,,,,,,,,0|i000pj:,,,Bug Sprint,,,,,,,,,2024-07-10 01:47:31.191,,10/Jul/24 2:47 AM;712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a;[~accountid:5f6e4e4ded55c7006af8793c] Is it possible to write a check for the both date format? because the date format that come from the SP for credit and debit is different,10/Jul/24 10:13 AM;70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19;[~accountid:5f6e4e4ded55c7006af8793c] ,10/Jul/24 10:32 AM;70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19;[~accountid:6371350a5fce844d60662eb2] ,"12/Jul/24 7:59 AM;712020:61bce7d8-9fa0-45f1-8e8f-50f082f3696a;[~accountid:62b2b7970c77011bdfdcd453] This has been resolved on the backend.

cc. [~accountid:70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19] ",,,,,,,,,,In Progress,11/Jul/24 3:06 PM
iOS: Incorrect Navigation After Sending Money,ZYG-87,10086,Bug,Testing in progress,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,Adeniyi John,62b2b7970c77011bdfdcd453,Adeniyi John,62b2b7970c77011bdfdcd453,Adeniyi John,62b2b7970c77011bdfdcd453,29/Jun/24 12:22 AM,25/Jul/24 12:02 PM,25/Jul/24 12:02 PM,,,0,,"When a user sends money to a recipient, after inputting the transaction PIN, it navigates to the complete account setup screen instead of showing the user a success message with CTA buttons

h3. STEPS

# Login to your account
# Click on Send Money
# Follow on-screen instructions to make a transaction
# Input Transaction PIN

h3. EXPECTED RESULT 

After inputting the transaction PIN, it should show a success message with CTA buttons

h3. ACTUAL RESULT

After inputting the transaction PIN, it navigates to the complete account setup screen",,Adeniyi John,David Yamah,,,,62b2b7970c77011bdfdcd453,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000m6:zzzzzv,,,Bug Sprint,,,,,,,,,,,"25/Jul/24 12:02 PM;62b2b7970c77011bdfdcd453;Currently, the complete account setup screen appears only after relaunching the app. Initially, refreshing the app would display it. Therefore, there is no redirection to this screen when sending money.



I'll put this in Testing in Progress until the refresh is fixed",,,,,,,,,,,,,In Progress,24/Jul/24 12:38 PM
iOS: Incorrect Message for Empty Recent Beneficiaries List,ZYG-86,10085,Bug,In Progress,ZYG,Zyggy_Board,software,David Yamah,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,,Medium,,Adeniyi John,62b2b7970c77011bdfdcd453,Adeniyi John,62b2b7970c77011bdfdcd453,Adeniyi John,62b2b7970c77011bdfdcd453,29/Jun/24 12:17 AM,25/Jul/24 12:05 PM,25/Jul/24 12:05 PM,,,0,,"When the Recent Beneficiaries list is empty, it displays ""You haven't sent money yet."" However, this message may not accurately reflect the situation, as the user may have sent money without saving the recipient as a beneficiary. The content should be revised to indicate that the user has not saved any recipients as beneficiaries yet.

h3. STEPS

# Login to your account
# Click on Send Money
# Input an amount

h3. EXPECTED RESULT 

The content for the empty state of the Recent Beneficiaries section should be revised

h3. ACTUAL RESULT

Currently, it says “You haven’t sent any money“ which may not be the situation",,Adeniyi John,David Yamah,folaranmiaderinto,,,62b2b7970c77011bdfdcd453,70121:c3ff68b8-b470-47a1-9c3e-05f21818bc19,712020:af655a80-53c3-4600-8121-2d72f4132621,,,,,,,,,,,,,,,,,29/Jun/24 12:17 AM;ug:1a16ba24-7913-4aca-9dd9-a1d75dcb4a11;Recent beneficiaries content.jpeg;https://zyggynew.atlassian.net/rest/api/3/attachment/content/10045,,,,,,,,,,,,,,,,,,,,,,,0|i000m6:zzzzzr,,,Bug Sprint,,,,,,,,,2024-07-05 09:46:19.121,,05/Jul/24 10:46 AM;712020:af655a80-53c3-4600-8121-2d72f4132621;please recommend the message that should be there,25/Jul/24 12:04 PM;62b2b7970c77011bdfdcd453;[~accountid:712020:af655a80-53c3-4600-8121-2d72f4132621] You can use “ You haven't added any beneficiaries yet”,,,,,,,,,,,,In Progress,10/Jul/24 4:09 PM
